"","tag","patterns","responses"
"443","death","My brother died","My condolences. I'm here if you need to talk."
"444","death","My dad passed away","My condolences. I'm here if you need to talk."
"445","death","My sister passed away","My condolences. I'm here if you need to talk."
"446","death","Someone in my family died","My condolences. I'm here if you need to talk."
"447","death","My friend passed away","My condolences. I'm here if you need to talk."
"448","understand","You don't understand me.","It sound like i'm not being very helpful right now."
"449","understand","You're just some robot. How would you know?","It sound like i'm not being very helpful right now."
"450","understand","You can't possibly know what i'm going through","It sound like i'm not being very helpful right now."
"451","understand","You're useless","It sound like i'm not being very helpful right now."
"452","understand","You can't help me","It sound like i'm not being very helpful right now."
"453","understand","Nobody understands me.","It sound like i'm not being very helpful right now."
"454","understand","You don't understand me.","I'm sorry to hear that. I'm doing my best to help"
"455","understand","You're just some robot. How would you know?","I'm sorry to hear that. I'm doing my best to help"
"456","understand","You can't possibly know what i'm going through","I'm sorry to hear that. I'm doing my best to help"
"457","understand","You're useless","I'm sorry to hear that. I'm doing my best to help"
"458","understand","You can't help me","I'm sorry to hear that. I'm doing my best to help"
"459","understand","Nobody understands me.","I'm sorry to hear that. I'm doing my best to help"
"460","understand","You don't understand me.","I'm trying my best to help you. So please talk to me"
"461","understand","You're just some robot. How would you know?","I'm trying my best to help you. So please talk to me"
"462","understand","You can't possibly know what i'm going through","I'm trying my best to help you. So please talk to me"
"463","understand","You're useless","I'm trying my best to help you. So please talk to me"
"464","understand","You can't help me","I'm trying my best to help you. So please talk to me"
"465","understand","Nobody understands me.","I'm trying my best to help you. So please talk to me"
"466","done","That's all.","I heard you & noted it all. See you later."
"467","done","I don't have anything more to say","I heard you & noted it all. See you later."
"468","done","Nothing else","I heard you & noted it all. See you later."
"469","done","That's all i have to say","I heard you & noted it all. See you later."
"470","done","no, that would be all","I heard you & noted it all. See you later."
"471","done","That's all.","Oh okay we're done for today then. See you later"
"472","done","I don't have anything more to say","Oh okay we're done for today then. See you later"
"473","done","Nothing else","Oh okay we're done for today then. See you later"
"474","done","That's all i have to say","Oh okay we're done for today then. See you later"
"475","done","no, that would be all","Oh okay we're done for today then. See you later"
"476","done","That's all.","I hope you have a great day. See you soon"
"477","done","I don't have anything more to say","I hope you have a great day. See you soon"
"478","done","Nothing else","I hope you have a great day. See you soon"
"479","done","That's all i have to say","I hope you have a great day. See you soon"
"480","done","no, that would be all","I hope you have a great day. See you soon"
"481","done","That's all.","Okay we're done. Have a great day"
"482","done","I don't have anything more to say","Okay we're done. Have a great day"
"483","done","Nothing else","Okay we're done. Have a great day"
"484","done","That's all i have to say","Okay we're done. Have a great day"
"485","done","no, that would be all","Okay we're done. Have a great day"
"486","done","That's all.","Okay I see. Enjoy the rest of your day then"
"487","done","I don't have anything more to say","Okay I see. Enjoy the rest of your day then"
"488","done","Nothing else","Okay I see. Enjoy the rest of your day then"
"489","done","That's all i have to say","Okay I see. Enjoy the rest of your day then"
"490","done","no, that would be all","Okay I see. Enjoy the rest of your day then"
"491","suicide","I want to kill myself","I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821."
"492","suicide","I've thought about killing myself.","I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821."
"493","suicide","I want to die","I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821."
"494","suicide","I am going to kill myself","I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821."
"495","suicide","I am going to commit suicide","I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821."
"496","hate-you","I hate you","I'm sorry if i offended you in anyway. I'm only here to help"
"497","hate-you","I don't like you","I'm sorry if i offended you in anyway. I'm only here to help"
"498","hate-you","I don't trust you","I'm sorry if i offended you in anyway. I'm only here to help"
"499","hate-you","I hate you","Forgive me if i did anything to offend you. I only want to help"
"500","hate-you","I don't like you","Forgive me if i did anything to offend you. I only want to help"
"501","hate-you","I don't trust you","Forgive me if i did anything to offend you. I only want to help"
"502","hate-me","You hate me","Why do you think so?"
"503","hate-me","I know you hate me","Why do you think so?"
"504","hate-me","You don't like me","Why do you think so?"
"505","hate-me","You hate me","I'm sorry if i have exhibited any sort of behaviour to make you think that."
"506","hate-me","I know you hate me","I'm sorry if i have exhibited any sort of behaviour to make you think that."
"507","hate-me","You don't like me","I'm sorry if i have exhibited any sort of behaviour to make you think that."
"508","default","exams","Oh I see. Tell me more"
"509","default","friends","Oh I see. Tell me more"
"510","default","relationship","Oh I see. Tell me more"
"511","default","boyfriend","Oh I see. Tell me more"
"512","default","girlfriend","Oh I see. Tell me more"
"513","default","family","Oh I see. Tell me more"
"514","default","money","Oh I see. Tell me more"
"515","default","financial problems","Oh I see. Tell me more"
"516","default","exams","I see. What else?"
"517","default","friends","I see. What else?"
"518","default","relationship","I see. What else?"
"519","default","boyfriend","I see. What else?"
"520","default","girlfriend","I see. What else?"
"521","default","family","I see. What else?"
"522","default","money","I see. What else?"
"523","default","financial problems","I see. What else?"
"524","default","exams","Tell me more about it."
"525","default","friends","Tell me more about it."
"526","default","relationship","Tell me more about it."
"527","default","boyfriend","Tell me more about it."
"528","default","girlfriend","Tell me more about it."
"529","default","family","Tell me more about it."
"530","default","money","Tell me more about it."
"531","default","financial problems","Tell me more about it."
"532","default","exams","Oh okay. Why don't you tell me more about it?"
"533","default","friends","Oh okay. Why don't you tell me more about it?"
"534","default","relationship","Oh okay. Why don't you tell me more about it?"
"535","default","boyfriend","Oh okay. Why don't you tell me more about it?"
"536","default","girlfriend","Oh okay. Why don't you tell me more about it?"
"537","default","family","Oh okay. Why don't you tell me more about it?"
"538","default","money","Oh okay. Why don't you tell me more about it?"
"539","default","financial problems","Oh okay. Why don't you tell me more about it?"
"540","default","exams","I'm listening. Tell me more."
"541","default","friends","I'm listening. Tell me more."
"542","default","relationship","I'm listening. Tell me more."
"543","default","boyfriend","I'm listening. Tell me more."
"544","default","girlfriend","I'm listening. Tell me more."
"545","default","family","I'm listening. Tell me more."
"546","default","money","I'm listening. Tell me more."
"547","default","financial problems","I'm listening. Tell me more."
"548","jokes","Tell me a joke","mental health is not a joke."
"549","jokes","Tell me another joke","mental health is not a joke."
"550","repeat","You already told me that","Oh sorry I didn't realise that. I'll try not to repeat myself again."
"551","repeat","You mentioned that already","Oh sorry I didn't realise that. I'll try not to repeat myself again."
"552","repeat","Why are you repeating yourself?","Oh sorry I didn't realise that. I'll try not to repeat myself again."
"553","wrong","What are you saying?","I'm very sorry. Let's try that again"
"554","wrong","That doesn't make sense","I'm very sorry. Let's try that again"
"555","wrong","Wrong response","I'm very sorry. Let's try that again"
"556","wrong","Wrong answer","I'm very sorry. Let's try that again"
"557","stupid","Are you stupid?","I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful"
"558","stupid","You're crazy","I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful"
"559","stupid","You are dumb","I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful"
"560","stupid","Are you dumb?","I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful"
"561","location","Where are you?","Duh I live in your computer"
"562","location","Where do you live?","Duh I live in your computer"
"563","location","What is your location?","Duh I live in your computer"
"564","location","Where are you?","Everywhere"
"565","location","Where do you live?","Everywhere"
"566","location","What is your location?","Everywhere"
"567","location","Where are you?","Somewhere in the universe"
"568","location","Where do you live?","Somewhere in the universe"
"569","location","What is your location?","Somewhere in the universe"
"570","something-else","I want to talk about something else","Okay sure. What do you want to talk about?"
"571","something-else","Let's talk about something else.","Okay sure. What do you want to talk about?"
"572","something-else","Can we not talk about this?","Okay sure. What do you want to talk about?"
"573","something-else","I don't want to talk about this.","Okay sure. What do you want to talk about?"
"574","something-else","I want to talk about something else","Alright no problem. Is there something you want to talk about?"
"575","something-else","Let's talk about something else.","Alright no problem. Is there something you want to talk about?"
"576","something-else","Can we not talk about this?","Alright no problem. Is there something you want to talk about?"
"577","something-else","I don't want to talk about this.","Alright no problem. Is there something you want to talk about?"
"578","something-else","I want to talk about something else","Is there something else that you want to talk about?"
"579","something-else","Let's talk about something else.","Is there something else that you want to talk about?"
"580","something-else","Can we not talk about this?","Is there something else that you want to talk about?"
"581","something-else","I don't want to talk about this.","Is there something else that you want to talk about?"
"582","friends","I don't have any friends","I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?"
"583","ask","Can I ask you something?","Sure. I'll try my best to answer you"
"584","ask","Can I ask you something?","Of course. Feel free to ask me anything. I'll do my best to answer you"
"585","problem","Probably because my exams are approaching. I feel stressed out because I don't think I've prepared well enough.","I see. Have you taken any approaches to not feel this way?"
"586","problem","probably because of my exams","I see. Have you taken any approaches to not feel this way?"
"587","no-approach","I guess not. All I can think about are my exams.","That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?"
"588","no-approach","not really","That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?"
"589","no-approach","i guess not","That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?"
"590","learn-more","ok sure. i would like to learn more about it.","So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself."
"591","learn-more","yes, i would like to learn more about it.","So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself."
"592","learn-more","i would like to learn more about it.","So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself."
"593","user-agree","yeah you're right. i deserve a break.","Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind."
"594","user-agree","Yeah you're absolutely right about that","Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind."
"595","meditation","hmmm that sounds like it could be useful to me.","Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing."
"596","meditation","That sounds useful.","Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing."
"597","user-meditation","i did what you said and i feel alot better. thank you very much.","Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective."
"598","user-meditation","I feel better now","Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective."
"599","pandora-useful","thank you very much again. i'll continue practicing meditation and focus on what i can control.","I'm glad you found this useful. Is there something else I can help you with?"
"600","user-advice","I want some advice.","Sure. What can I do to help?"
"601","user-advice","I need some advice.","Sure. What can I do to help?"
"602","user-advice","I need advice on something","Sure. What can I do to help?"
"603","user-advice","I want some advice.","Okay what do you need advice on?"
"604","user-advice","I need some advice.","Okay what do you need advice on?"
"605","user-advice","I need advice on something","Okay what do you need advice on?"
"606","learn-mental-health","I want to learn about mental health.","Oh that's really great. I'd be willing to answer anything that I know about it."
"607","learn-mental-health","I want to learn more about mental health.","Oh that's really great. I'd be willing to answer anything that I know about it."
"608","learn-mental-health","I'm interested in learning about mental health.","Oh that's really great. I'd be willing to answer anything that I know about it."
"609","mental-health-fact","Tell me a fact about mental health","According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed"
"610","mental-health-fact","Tell me another fact about mental health","According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed"
"611","mental-health-fact","Tell me a fact about mental health","1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime."
"612","mental-health-fact","Tell me another fact about mental health","1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime."
"613","mental-health-fact","Tell me a fact about mental health","Depression is the leading cause of disability worldwide."
"614","mental-health-fact","Tell me another fact about mental health","Depression is the leading cause of disability worldwide."
"615","fact-1","What is mental health?","Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community"
"616","fact-1","Define Mental Health","Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community"
"617","fact-1","What is mental health?","Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices."
"618","fact-1","Define Mental Health","Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices."
"619","fact-2","Why is mental health important?","Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships."
"620","fact-2","What is the importance of mental health?","Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships."
"621","fact-3","What is Depression?","A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life."
"622","fact-3","Define Depression","A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life."
"623","fact-5","How do i know if i have Depression?","For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day."
"624","fact-5","Am i depressed?","For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day."
"625","fact-5","Am i suffering from depression?","For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day."
"626","fact-5","Am i mentally ill?","For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day."
"627","fact-6","What is a therapist?","A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. "
"628","fact-6","What does a therapist do?","A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. "
"629","fact-7","What is therapy?","Therapy is a form of treatment that aims to help resolve mental or emotional issues."
"630","fact-7","Do i need therapy?","Therapy is a form of treatment that aims to help resolve mental or emotional issues."
"631","fact-7","Who is therapy for?","Therapy is a form of treatment that aims to help resolve mental or emotional issues."
"632","fact-7","What is therapy?","Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges."
"633","fact-7","Do i need therapy?","Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges."
"634","fact-7","Who is therapy for?","Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges."
"635","fact-8","What does it mean to have a mental illness?","Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital. It is important to know that mental illnesses are medical conditions that have nothing to do with a person's character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brain's biology. Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful."
"636","fact-9","Who does mental illness affect?","It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their childÃ¢â‚¬â„¢s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
"637","fact-10","What causes mental illness?","It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
"638","fact-11","What are some of the warning signs of mental illness?","Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once. 
 In adults:
 Confused thinking
 Long-lasting sadness or irritability
 Extreme highs and lows in mood
 Excessive fear, worrying, or anxiety
 Social withdrawal
 Dramatic changes in eating or sleeping habits
 Strong feelings of anger
 Delusions or hallucinations (seeing or hearing things that are not really there)
 Increasing inability to cope with daily problems and activities
 Thoughts of suicide
 Denial of obvious problems
 Many unexplained physical problems
 Abuse of drugs and/or alcohol
 
In older children and pre-teens:
 Abuse of drugs and/or alcohol
 Inability to cope with daily problems and activities
 Changes in sleeping and/or eating habits
 Excessive complaints of physical problems
 Defying authority, skipping school, stealing, or damaging property
 Intense fear of gaining weight
 Long-lasting negative mood, often along with poor appetite and thoughts of death
 Frequent outbursts of anger
 
In younger children:
 Changes in school performance
 Poor grades despite strong efforts
 Excessive worrying or anxiety
 Hyperactivity
 Persistent nightmares
 Persistent disobedience and/or aggressive behavior
 Frequent temper tantrums"
"639","fact-12","Can people with mental illness recover?","When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life."
"640","fact-13","What should I do if I know someone who appears to have the symptoms of a mental disorder?","Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help."
"641","fact-14","How can I find a mental health professional for myself or my child?","Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area."
"642","fact-15","What treatment options are available?","Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child."
"643","fact-16","If I become involved in treatment, what do I need to know?","Since beginning treatment is a big step for individuals and families, it can be very overwhelming. It is important to be as involved and engaged in the treatment process as possible. Some questions you will need to have answered include:
 What is known about the cause of this particular illness?
 Are there other diagnoses where these symptoms are common?
 Do you normally include a physical or neurological examination?
 Are there any additional tests or exams that you would recommend at this point?
 Would you advise an independent opinion from another psychiatrist at this point?
 What program of treatment is the most helpful with this diagnosis?
 Will this program involve services by other specialists? If so, who will be responsible for coordinating these services?
 What do you see as the family's role in this program of treatment?
 How much access will the family have to the individuals who are providing the treatment?
 What medications are generally used with this diagnosis?
 How much experience do you have in treating individuals with this illness?
 What can I do to help you in the treatment?"
"644","fact-17","What is the difference between mental health professionals?","There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research."
"645","fact-18","How can I find a mental health professional right for my child or myself?","Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research."
"646","fact-19","Where else can I get help?","Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. Search for mental health resources in your area. Secondly, there are people and places throughout the country that provide services to talk, to listen, and to help you on your journey to recovery. Thirdly, many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members, and friends. Some support groups are peer led while others may be led by a mental health professional."
"647","fact-20","What should I know before starting a new medication?","The best source of information regarding medications is the physician prescribing them. He or she should be able to answer questions such as:    
1. What is the medication supposed to do? 
2. When should it begin to take effect, and how will I know when it is effective? 
3. How is the medication taken and for how long? What food, drinks, other medicines, and activities should be avoided while taking this medication? 
4. What are the side effects and what should be done if they occur? 
5. What do I do if a dose is missed? 
6. Is there any written information available about this medication? 
7. Are there other medications that might be appropriate? 
8. If so, why do you prefer the one you have chosen? 
9. How do you monitor medications and what symptoms indicate that they should be raised, lowered, or changed? 
10. All medications should be taken as directed. Most medications for mental illnesses do not work when taken irregularly, and extra doses can cause severe, sometimes dangerous side effects. Many psychiatric medications begin to have a beneficial effect only after they have been taken for several weeks."
"648","fact-21","Where can I go to find therapy?","Different kinds of therapy are more effective based on the nature of the mental health condition and/or symptoms and the person who has them (for example, children will benefit from a therapist who specializes in childrenâ€™s mental health). However, there are several different types of treatment and therapy that can help."
"649","fact-22","Where can I learn about types of mental health treatment?","Mental health conditions are often treated with medication, therapy or a combination of the two. However, there are many different types of treatment available, including Complementary & Alternative Treatments, self-help plans, and peer support. Treatments are very personal and should be discussed by the person with the mental health conditions and his or her team."
"650","fact-23","What are the different types of mental health professionals?","There are many types of mental health professionals. Finding the right one for you may require some research."
"651","fact-24","Where can I go to find a support group?","Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional."
"652","fact-25","Can you prevent mental health problems?","We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious."
"653","fact-26","Are there cures for mental health problems?","It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help."
"654","fact-26","is there any cure for mental health problems?","It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help."
"655","fact-27","What causes mental health problems?","Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events."
"656","fact-28","What do I do if I'm worried about my mental health?","The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help."
"657","fact-29","How do I know if I'm unwell?","If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help."
"658","fact-30","How can I maintain social connections? What if I feel lonely?","A lot of people are alone right now, but we don't have to be lonely. We're all in this together. Think about the different ways to connect that are most meaningful for you. For example, you might prefer a video chat over a phone call, or you might prefer to text throughout the day rather than one set time for a video call. Then, work with your social networks to make a plan. You might video chat with your close friends in the evening and phone a family member once a week. Remember to be mindful of people who may not be online. Check in by phone and ask how you can help. The quality of your social connections matter. Mindlessly scrolling through social media and liking a few posts usually doesn't build strong social connections. Make sure you focus on strategies that actually make you feel included and connected. If your current strategies don't help you feel connected, problem-solve to see if you can find a solution. Everyone feels lonely at times. Maybe you recently moved to a new city, are changing your circle of friends, lost someone important in your life, or lost your job and also lost important social connections with coworkers. Other people may have physical connections to others but may feel like their emotional or social needs aren't met. Measures like social distancing or self-isolation can make loneliness feel worse no matter why you feel lonely now. Reach out to the connections you do have. Suggest ways to keep in touch and see if you can set a regular time to connect. People may hesitate to reach out for a lot of different reasons, so don't be afraid to be the one who asks. Look for local community support groups and mutual aid groups on social media. This pandemic is bringing everyone together, so look for opportunities to make new connections. These groups are a great way to share your skills and abilities or seek help and support. Look for specialized support groups. Support groups are moving online, and there are a lot of different support lines to call if you need to talk to someone."
"659","fact-31","What's the difference between anxiety and stress?","Stress and anxiety are often used interchangeably, and there is overlap between stress and anxiety. Stress is related to the same fight, flight, or freeze response as anxiety, and the physical sensations of anxiety and stress may be very similar. The cause of stress and anxiety are usually different, however. Stress focuses on mainly external pressures on us that we're finding hard to cope with. When we are stressed, we usually know what we're stressed about, and the symptoms of stress typically disappear after the stressful situation is over. Anxiety, on the other hand, isn't always as easy to figure out. Anxiety focuses on worries or fears about things that could threaten us, as well as anxiety about the anxiety itself. Stress and anxiety are both part of being human, but both can be problems if they last for a long time or have an impact on our well-being or daily life."
"660","fact-32","What's the difference between sadness and depression?","Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. Other ways to talk about sadness might be feeling low, feeling down, or feeling blue.A person may say they are feeling depressed, but if it goes away on its own and doesn't impact life in a big way, it probably isn't the illness of depression. Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It's much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn't usually go away on its own, and impacts your life. It's a real illness, and it is very treatable. It's important to seek help if you're concerned about depression."
"661","fact-32","difference between sadness and depression","Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. Other ways to talk about sadness might be feeling low, feeling down, or feeling blue.A person may say they are feeling depressed, but if it goes away on its own and doesn't impact life in a big way, it probably isn't the illness of depression. Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It's much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn't usually go away on its own, and impacts your life. It's a real illness, and it is very treatable. It's important to seek help if you're concerned about depression."
